,url,app,lang_key,restriction,keyword
232,app=core&module=settings&controller=general&searchResult=form_diagnostics_reporting,core,diagnostics_reporting,general_manage,diagnostics
233,app=core&module=settings&controller=general&searchResult=form_copyright_line,core,copyright_line,general_manage,license
234,app=core&module=settings&controller=general&searchResult=form_copyright_line,core,copyright_line,general_manage,copyright
235,app=core&module=settings&controller=general&searchResult=form_board_name,core,board_name,general_manage,website name
236,app=core&module=settings&controller=general&searchResult=form_board_name,core,board_name,general_manage,site name
237,app=core&module=settings&controller=general&searchResult=form_board_name,core,board_name,general_manage,community name
238,app=core&module=settings&controller=email&searchResult=settings_form_mail_method,core,mail_method,email_manage,smtp
239,app=core&module=settings&controller=email&searchResult=settings_form_mail_method,core,mail_method,email_manage,mail
240,app=core&module=settings&controller=email&searchResult=settings_form_email_logo,core,email_logo,email_manage,email logo
241,app=core&module=settings&controller=email&searchResult=settings_form_email_out,core,email_out,email_manage,email
242,app=core&module=settings&controller=email&searchResult=settings_form_email_out,core,email_out,email_manage,outgoing email
243,app=core&module=settings&controller=email&searchResult=settings_form_email_out,core,email_out,email_manage,site email
244,app=core&module=settings&controller=email&searchResult=settings_form_mail_method,core,mail_method,email_manage,email
245,app=core&module=settings&controller=email&searchResult=settings_form_email_in,core,email_in,email_manage,incoming email
246,app=core&module=settings&controller=email&do=errorLog,core,emailerrorlogs,email_errorlog,logs
247,app=core&module=settings&controller=email&searchResult=settings_form_email_color,core,email_color,email_manage,email color
248,app=core&module=settings&controller=email&searchResult=settings_form_email_color,core,email_color,email_manage,email colour
249,app=core&module=settings&controller=email,core,menu__core_settings_email,email_manage,smtp
250,app=core&module=settings&controller=email&do=errorLog,core,emailerrorlogs,email_errorlog,email error logs
251,app=core&module=settings&controller=email&searchResult=settings_form_email_in,core,email_in,email_manage,contact us email
252,app=core&module=settings&controller=email&searchResult=settings_form_email_in,core,email_in,email_manage,contact email
253,app=core&module=settings&controller=email&do=errorLog,core,emailerrorlogs,email_errorlog,email logs
254,app=core&module=settings&controller=email,core,menu__core_settings_email,email_manage,mail
255,app=core&module=settings&controller=email,core,menu__core_settings_email,email_manage,email logo
256,app=core&module=settings&controller=email,core,menu__core_settings_email,email_manage,address
